scenario_id,model_type,n_seeds,price_true,delta_true,price_abs_error_mean,price_abs_error_max_seed,price_error_mean,price_pred_sd_seed,delta_abs_error_mean,delta_abs_error_max_seed,delta_error_mean,delta_pred_sd_seed,split,S0_K,spot_K,fixed_avg_contrib_K,past_avg_K,t,tau,n_fix_past,n_fix_future,r,kappa_q,theta_q_log_K,sigma_q,kappa_p,theta_p_log_K,sigma_p,state_seed,pricing_seed,price_K,delta,price_se_rep,delta_se_rep,n_paths,n_replications,pricing_engine,compute_backend,compute_dtype,expected_final_avg_K_Q,expected_moneyness_Q,abs_expected_moneyness_Q,required_future_avg_K_for_strike,spot_minus_required_future_avg,nearest_tau_fixing_boundary,distance_to_fixing_boundary_years,distance_to_fixing_boundary_days
test_0001520,mlp,5,0.0177915468811988,0.0028191821184009,5.284331435546104e-05,0.0001108053894223,-3.812287087859192e-05,6.104585200374213e-05,0.0008360923318022,0.0012677163667673,9.008067396113604e-05,0.00107343540963,test,1.097087926301174,1.0534430116815603,0.6667319688838519,1.000097953325778,0.7039497747551651,0.296050225244835,8,4,0.0380193838477134,72.98727286793292,0.0510157072412225,0.594947726726532,32.66452619190628,0.0,0.6247403836973323,185117385426416,185546882156016,0.0177915468811988,0.0028191821184009,,,8192,1,rqmc,pytorch_cuda,float32,1.0179403966109195,0.0179403966109195,0.0179403966109195,0.9998040933484444,0.0536389183331159,0.3333333333333333,0.03728310808849833,13.60833445230189
test_0001521,dml,5,0.0357292406260967,0.001872933935374,0.001512298788483,0.0026024005806635,-0.001512298788483,0.0008419072019074,0.0006812121362304,0.0013711868997273,-2.7561312455939976e-05,0.0009043419829676,test,0.985998381092213,1.1982598819978332,0.2120323536102057,1.2721941216612347,0.1706003410741686,0.8293996589258313,2,10,0.0687447375804185,44.82588764280081,-0.0122241006638774,0.6584030482172966,32.66452619190628,0.0,0.6247403836973323,185117385426417,185546882156017,0.0357292406260967,0.001872933935374,,,8192,1,rqmc,pytorch_cuda,float32,1.037699292881625,0.0376992928816251,0.0376992928816251,0.9455611756677532,0.2526987063300799,0.8333333333333334,0.00393367440750203,1.435791158738241
test_0001521,mlp,5,0.0357292406260967,0.001872933935374,0.0007636493028522,0.0012311210046453,-0.0007636493028522,0.0003683325906897,0.0018923154389,0.0033896257559585,-0.0003317504076173,0.0023790345728929,test,0.985998381092213,1.1982598819978332,0.2120323536102057,1.2721941216612347,0.1706003410741686,0.8293996589258313,2,10,0.0687447375804185,44.82588764280081,-0.0122241006638774,0.6584030482172966,32.66452619190628,0.0,0.6247403836973323,185117385426417,185546882156017,0.0357292406260967,0.001872933935374,,,8192,1,rqmc,pytorch_cuda,float32,1.037699292881625,0.0376992928816251,0.0376992928816251,0.9455611756677532,0.2526987063300799,0.8333333333333334,0.00393367440750203,1.435791158738241
test_0001522,dml,5,9.59093540586764e-06,5.133877493790351e-06,2.282471759948585e-05,4.102277973729376e-05,-4.906349470176764e-06,2.919097168407192e-05,0.0001214392855626,0.0002466869697975,3.485682700526465e-06,0.0001672394827043,test,0.9160942249000072,0.9132945444585132,0.8294204309184305,0.9953045171021166,0.8480089088436216,0.1519910911563783,10,2,0.0060161709785461,63.98873320035637,-0.0897588955901919,0.6784858459234238,32.66452619190628,0.0,0.6247403836973323,185117385426418,185546882156018,9.59093540586764e-06,5.133877493790351e-06,,,8192,1,rqmc,pytorch_cuda,float32,0.9820523834051568,-0.0179476165948433,0.0179476165948433,1.0234774144894168,-0.1101828700309035,0.16666666666666666,0.014675575510288363,5.356585061255252
test_0001522,mlp,5,9.59093540586764e-06,5.133877493790351e-06,2.5064241063708918e-05,5.673146753245109e-05,7.888567784784805e-06,3.430536902857543e-05,0.0006420919422132,0.0013504874832132,-0.0001493624455039,0.0009051645223243,test,0.9160942249000072,0.9132945444585132,0.8294204309184305,0.9953045171021166,0.8480089088436216,0.1519910911563783,10,2,0.0060161709785461,63.98873320035637,-0.0897588955901919,0.6784858459234238,32.66452619190628,0.0,0.6247403836973323,185117385426418,185546882156018,9.59093540586764e-06,5.133877493790351e-06,,,8192,1,rqmc,pytorch_cuda,float32,0.9820523834051568,-0.0179476165948433,0.0179476165948433,1.0234774144894168,-0.1101828700309035,0.16666666666666666,0.014675575510288363,5.356585061255252
test_0001523,dml,5,0.0951827466487884,0.0084272380918264,7.790079120625296e-05,0.0002406170216951,4.124247640757088e-05,0.0001196334493858,8.005066586783641e-05,0.0002103198825039,7.616278248307004e-05,8.46707162725946e-05,test,1.0501952250488102,0.8696724790116428,0.4370965391702472,1.0490316940085933,0.4334675788879394,0.5665324211120606,5,7,0.055335351601243,38.32490772381425,0.1260881764678428,0.5743962934613228,32.66452619190628,0.0,0.6247403836973323,185117385426419,185546882156019,0.0951827466487884,0.0084272380918264,,,8192,1,rqmc,pytorch_cuda,float32,1.0982142538751976,0.0982142538751975,0.0982142538751975,0.9649773614224332,-0.0953048824107904,0.5833333333333334,0.01680091222127278,6.132332960764565
test_0001523,mlp,5,0.0951827466487884,0.0084272380918264,6.136766024258035e-05,0.0001320682690427,-5.624412026903536e-05,5.580717633199601e-05,0.0010862749700187,0.0019694174322569,0.0008214145672507,0.0010668412085884,test,1.0501952250488102,0.8696724790116428,0.4370965391702472,1.0490316940085933,0.4334675788879394,0.5665324211120606,5,7,0.055335351601243,38.32490772381425,0.1260881764678428,0.5743962934613228,32.66452619190628,0.0,0.6247403836973323,185117385426419,185546882156019,0.0951827466487884,0.0084272380918264,,,8192,1,rqmc,pytorch_cuda,float32,1.0982142538751976,0.0982142538751975,0.0982142538751975,0.9649773614224332,-0.0953048824107904,0.5833333333333334,0.01680091222127278,6.132332960764565
test_0001524,dml,5,0.0017060763202607,0.004635295830667,7.219120556164034e-05,0.0001889992856976,-4.018791105136152e-05,9.87743343937929e-05,0.0001693929619165,0.0004512166349492,7.833524226278946e-05,0.0002432201396546,test,1.0846157079096883,0.8397201915023782,0.722193471125108,0.9629246281668108,0.7781327460892499,0.2218672539107501,9,3,0.0785622270405292,31.281129334121943,0.0835918538428742,0.6229210266470909,32.66452619190628,0.0,0.6247403836973323,185117385426420,185546882156020,0.0017060763202607,0.004635295830667,,,8192,1,rqmc,pytorch_cuda,float32,0.9904147274929178,-0.0095852725070821,0.0095852725070821,1.111226115499568,-0.2715059239971897,0.25,0.0281327460892499,10.268452322576213
test_0001524,mlp,5,0.0017060763202607,0.004635295830667,0.0002611976613216,0.0006136640619451,-0.0001448144691032,0.0003424234341653,0.0037693647646482,0.0110665810427588,-0.0017784951478586,0.0056515725800857,test,1.0846157079096883,0.8397201915023782,0.722193471125108,0.9629246281668108,0.7781327460892499,0.2218672539107501,9,3,0.0785622270405292,31.281129334121943,0.0835918538428742,0.6229210266470909,32.66452619190628,0.0,0.6247403836973323,185117385426420,185546882156020,0.0017060763202607,0.004635295830667,,,8192,1,rqmc,pytorch_cuda,float32,0.9904147274929178,-0.0095852725070821,0.0095852725070821,1.111226115499568,-0.2715059239971897,0.25,0.0281327460892499,10.268452322576213
test_0001525,dml,5,0.0,0.0,1.7101063769317525e-05,4.660389978359061e-05,1.0186275853563132e-05,2.302896142240188e-05,3.390581583269018e-05,5.581385127158204e-05,9.897627053886509e-06,4.292411978811984e-05,test,0.8721423455048353,0.9702912571408498,0.1663465027948791,0.9980790167692744,0.2445368811953813,0.7554631188046187,2,10,0.0278770827502012,59.41318601183593,-0.1260951983260127,0.6488843381404876,32.66452619190628,0.0,0.6247403836973323,185117385426421,185546882156021,0.0,0.0,,,8192,1,rqmc,pytorch_cuda,float32,0.90750598787695,-0.0924940121230499,0.0924940121230499,1.000384196646145,-0.0300929395052952,0.75,0.005463118804618694,1.9940383636858234
