run_name,model_type,train_size,seed,selected_epoch,training_seconds,parameter_count,lambda_delta,split,n_eval,protocol_sha256,price_mse,price_rmse,price_mae,price_r2,price_max_abs_error,price_p95_abs_error,price_p99_abs_error,delta_mse,delta_rmse,delta_mae,delta_r2,delta_max_abs_error,delta_p95_abs_error,delta_p99_abs_error
dml_n1024_seed1701,dml,1024,1701,337,285.17776349999986,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.542243975837863e-05,0.009242426075353735,0.005893597857077135,0.9345369092626633,0.06717301866953188,0.020593680106286847,0.03149815708667447,0.00019855996360983137,0.014091130671803145,0.009744329486339487,0.3566544571877418,0.08248203445741263,0.029494644333711805,0.046250440867846375
mlp_n1024_seed1701,mlp,1024,1701,228,261.9217785000001,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.513941680931417e-05,0.009227102297542505,0.005910648077719398,0.93475380258774,0.06663148284508465,0.02050254924997597,0.031403301202504376,0.0009805235605864066,0.03131331283314505,0.02174674282082963,-2.1769519436718716,0.15169735271482768,0.06814801995170659,0.09884889984193153
dml_n1024_seed2701,dml,1024,2701,390,283.05065190000096,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.590464939440916e-05,0.009268476109609883,0.005826181543712665,0.9341673701433503,0.06393466662496765,0.020759323896003445,0.031819228748799964,0.00015688756977501458,0.012525476828249477,0.00778984555434998,0.49167537653393656,0.08301050413179929,0.027751332099313637,0.048027006926734436
mlp_n1024_seed2701,mlp,1024,2701,208,265.9799563000015,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.435351519835385e-05,0.009184416976507211,0.005942209010932873,0.9353560746442914,0.06657141744558404,0.02028060437404134,0.03077404155132299,0.0008156440663005576,0.02855948294876078,0.020003757186740634,-1.6427330315533362,0.12840264200423518,0.061078889451546665,0.08712497489831256
dml_n1024_seed3701,dml,1024,3701,290,285.78029349999997,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.607551965427768e-05,0.009277689348877644,0.006102812590133289,0.9340364245117606,0.06791052810050317,0.020312692622098984,0.031646552391145055,0.0002760093687283498,0.016613529689032062,0.012507794987528416,0.10571399229941814,0.09440591826121164,0.03310245566394283,0.04753097190700561
mlp_n1024_seed3701,mlp,1024,3701,215,273.3174224000031,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.577819621668678e-05,0.009261651916191127,0.006084100421598616,0.9342642769499303,0.06668237120844434,0.02047776051191567,0.03083962899726856,0.000976067460160455,0.031242078358528824,0.021882457464937007,-2.162513925577786,0.14403880652203904,0.06890003822640504,0.09925069141914081
dml_n1024_seed4701,dml,1024,4701,367,285.74704930000007,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.460141814472543e-05,0.009197902921031805,0.005909582631394695,0.9351660953704813,0.06566178744668448,0.020434494323931077,0.03169652474428982,0.00018462600964833204,0.013587715394735498,0.00936603113756268,0.4018012582442563,0.08745269691824882,0.028366765591453312,0.04563237494681633
mlp_n1024_seed4701,mlp,1024,4701,214,265.1735597000006,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.429848398346638e-05,0.009181420586350806,0.005918172638774189,0.9353982475607259,0.0666542969549156,0.020273729728397333,0.030928308057671522,0.0007409784908175397,0.02722092009498466,0.019295265262928605,-1.4008123325603523,0.12934022558133157,0.05812251071222379,0.08209810228114474
dml_n1024_seed5701,dml,1024,5701,384,285.0423866000019,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.415835842644167e-05,0.009173786482496836,0.005823273467438408,0.9355056321318067,0.06490817310832281,0.02047743231279701,0.03126794392396424,0.00030738470726794415,0.01753239023259362,0.012932125761569019,0.004056116075501159,0.0962502056067008,0.03484388730674958,0.049814611904288535
mlp_n1024_seed5701,mlp,1024,5701,237,264.6761673000001,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.521512514387454e-05,0.009231203883777812,0.00594998515698088,0.9346957838564919,0.06692913644005317,0.020526708482927418,0.030602551563624833,0.0009651869114008927,0.031067457433798677,0.021493011098972614,-2.1272603305400133,0.14051651032369056,0.06740915288673287,0.10031965252319855
dml_n4096_seed1701,dml,4096,1701,402,455.5552596000016,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.669647634444442e-05,0.00875765244483043,0.0052869639117326716,0.9412240108761597,0.058431066426561415,0.019766326995780015,0.030784376702650388,0.0001246482078051227,0.011164596177431709,0.0061683707503129084,0.5961327376724436,0.07596746325740027,0.025890647213871888,0.04575824030261325
mlp_n4096_seed1701,mlp,4096,1701,275,365.4485311999997,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.644745842966955e-05,0.0087434237247013,0.00536759723906091,0.9414148446008372,0.05512894697363839,0.019666930595629215,0.030052331096684273,0.0006180513905544169,0.024860639383459487,0.0172969292684133,-1.0025215562761858,0.10634228634808947,0.053313555437979866,0.07211033221467529
dml_n4096_seed2701,dml,4096,2701,466,454.11046089999945,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.716293165628852e-05,0.00878424337414945,0.005244609210832163,0.9408665450101585,0.05788324489603759,0.01987715518580188,0.030934645515476727,0.0001274104939063852,0.011287625698364789,0.006377680450796435,0.5871827740498099,0.07857759341138329,0.02614348452429939,0.04568059198756349
mlp_n4096_seed2701,mlp,4096,2701,448,365.3174626,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.649641343118124e-05,0.008746222809372126,0.005285379654763684,0.9413773281623572,0.059733261487677686,0.019976363346293664,0.031206671826889285,0.0009557603974101887,0.030915374773891852,0.019741658298016336,-2.0967178906144426,0.1969275389489472,0.06703509174199929,0.10833909465034695
dml_n4096_seed3701,dml,4096,3701,416,455.6511070999986,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.762862265796127e-05,0.008810710678371029,0.005387200634878074,0.9405096648697142,0.0574390230943137,0.019863526810832626,0.030779480478075456,0.00012485196085410303,0.011173717414276372,0.006235141366447802,0.5954725662385211,0.0769680392713589,0.02587798717107995,0.04544813904080351
mlp_n4096_seed3701,mlp,4096,3701,504,365.2703253999971,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.63025038969296e-05,0.008735130445329914,0.0052944766835199015,0.9415259298350729,0.05596219478397971,0.019768828373720657,0.030423307674811686,0.0008672830493408707,0.02944966976624476,0.019687476155648503,-1.8100462651497304,0.1589155807402319,0.06485767047832401,0.09603416737539677
dml_n4096_seed4701,dml,4096,4701,378,454.5349520000018,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.579847509440656e-05,0.008706231968791467,0.005278927509485096,0.9419121899714858,0.057557832592556334,0.019615456139549906,0.030027960182371086,0.00012151338839670339,0.011023311135802318,0.00612672879753067,0.6062897303373438,0.0768870333630703,0.026015924335701334,0.04420117336230745
mlp_n4096_seed4701,mlp,4096,4701,265,365.32172829999763,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.674466271520125e-05,0.008760403113738616,0.00537382256244498,0.9411870834742958,0.05547944877927981,0.019704920396316734,0.02997766536306247,0.0005343014397352682,0.023114961382949967,0.01612517383660571,-0.7311669660017879,0.11594385075484154,0.049331884241702824,0.06684346108237743
dml_n4096_seed5701,dml,4096,5701,446,455.2903226999988,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.702557698825966e-05,0.008776421650550962,0.005431231637905121,0.9409718061233017,0.0579840221012987,0.019469057874553414,0.031114782583272143,0.00012927350140631846,0.011369850544590217,0.006360624937718681,0.5811465240952971,0.08777076440187068,0.026091438799480997,0.04616190996273916
mlp_n4096_seed5701,mlp,4096,5701,406,365.59240900000077,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.659062980730834e-05,0.00875160726994238,0.005326965483891395,0.9413051258792475,0.058747698757647474,0.019719106621290217,0.031082754069258006,0.0006915018210367694,0.026296422209813437,0.01738497954798277,-1.2405051165538095,0.17772365709303714,0.056946354624363156,0.08805249242265793
dml_n16384_seed1701,dml,16384,1701,265,1082.2836075999985,100225,0.25,test,8192,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.258347495683003e-05,0.008519593591059966,0.005053323850759416,0.9443759904239434,0.05701501196176932,0.01923701568296578,0.030831739520709518,0.000115928620902429,0.010767015412937283,0.0060350156089658685,0.6243846937416699,0.07311749279760946,0.024808858005776025,0.042888061638167656
