split,train_size,metric,n_pairs,mlp_mean,dml_mean,dml_minus_mlp_mean,dml_minus_mlp_sd,dml_improvement_pct_mean,dml_improvement_pct_sd,dml_better_pairs,mlp_better_pairs
test,4096,price_mse,5,7.6516333656058e-05,7.68624165482721e-05,3.46082892214094e-07,8.292211190607456e-07,-0.4540002807322184,1.083720698053261,1,4
test,4096,price_rmse,5,0.008747357472616868,0.008767052023338667,1.9694550721800416e-05,4.735842385007561e-05,-0.2255732689373559,0.5413997900025591,1,4
test,16384,delta_mae,5,0.013890396525252164,0.005232277528132603,-0.00865811899711956,0.0017299249485960688,62.390302297927136,12.844683671811328,5,0
test,16384,delta_mse,5,0.00042221631675590406,9.723639641054965e-05,-0.0003249799203453544,2.9616530210864094e-05,77.11484807833693,8.069928089396857,5,0
test,16384,delta_rmse,5,0.02054197245532771,0.00967395647689065,-0.010868015978437064,0.0018946803131182322,53.000528270159805,9.972765995591361,5,0
test,16384,price_mae,5,0.005001772551705004,0.004315571601967992,-0.000686200949737011,0.001633097994836901,13.732869289156307,32.68098440556143,1,4
test,16384,price_mse,5,7.119287138244444e-05,6.109998908612066e-05,-1.009288229632379e-05,2.493794573078985e-05,14.209589904538992,35.10240691013022,1,4
test,16384,price_rmse,5,0.00843757907548633,0.007610344352217803,-0.0008272347232685249,0.0019895823034542745,9.815255845268508,23.604897036730637,1,4
test,65536,delta_mae,5,0.001234442409372205,0.00021633309354851911,-0.001018109315823686,0.000267590556883424,81.95022606430234,8.7618274158347,5,0
test,65536,delta_mse,5,7.399528271090665e-05,3.350368575627973e-06,-7.064491413527869e-05,2.0960560823863446e-05,95.3308092760914,1.2125918332604482,5,0
test,65536,delta_rmse,5,0.00852829862915248,0.0018172252379260445,-0.0067110733912264355,0.001121927866005868,78.53060979892096,2.7350403983929388,5,0
test,65536,price_mae,5,0.00012264387720099863,0.00013562106175866702,1.2977184557668377e-05,5.244728075813833e-05,-14.746027021050418,51.38570514131102,2,3
test,65536,price_mse,5,2.640155166578007e-06,2.312331204193608e-06,-3.278239623843986e-07,5.026001004287852e-07,11.82231235773912,19.183642908328455,4,1
test,65536,price_rmse,5,0.0016243947705993802,0.001516165647208072,-0.00010822912339130847,0.0001593054119333571,6.50903521601504,9.823967374854961,4,1
