date,index_id,market,gpu_model,memory,region,delivery_form,contract_type,price_low,price_high,price_avg,currency,unit,observation_type,source,source_url,retrieved_at_utc
2026-07-03,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.52,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-04,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.52,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-05,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.51,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-06,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.51,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-07,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.51,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-08,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.51,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-09,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.5,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-10,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.51,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-11,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.51,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-12,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.51,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-13,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.51,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-14,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.51,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-15,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.5,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-16,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.5,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-17,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.5,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-18,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.5,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-19,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.5,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-20,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.49,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-21,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.49,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-22,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.49,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-23,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.49,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-24,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.49,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-25,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.48,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-26,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.48,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-27,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.49,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-28,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.48,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-29,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.49,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-30,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.49,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-31,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.49,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
