strategy,block_id,outer_seed,outer_path_index,path_uid,payoff_K,premium_K,premium_terminal_K,hedge_error_K,abs_hedge_error_K
no_hedge,2,12201,407,b2_p00407,0.05204868099868776,0.010719333001557797,0.011045785292412793,-0.04100289570627497,0.04100289570627497
no_hedge,4,12401,470,b4_p00470,0.05184078088331545,0.010719333001557797,0.011045785292412793,-0.04079499559090266,0.04079499559090266
no_hedge,4,12401,432,b4_p00432,0.0517828097344315,0.010719333001557797,0.011045785292412793,-0.04073702444201871,0.04073702444201871
no_hedge,3,12301,320,b3_p00320,0.05127904579378639,0.010719333001557797,0.011045785292412793,-0.0402332605013736,0.0402332605013736
no_hedge,3,12301,489,b3_p00489,0.05127535439133135,0.010719333001557797,0.011045785292412793,-0.04022956909891856,0.04022956909891856
no_hedge,3,12301,36,b3_p00036,0.051172409795970264,0.010719333001557797,0.011045785292412793,-0.04012662450355747,0.04012662450355747
no_hedge,1,12101,382,b1_p00382,0.051110922573276873,0.010719333001557797,0.011045785292412793,-0.04006513728086408,0.04006513728086408
no_hedge,4,12401,238,b4_p00238,0.05099640661818827,0.010719333001557797,0.011045785292412793,-0.03995062132577548,0.03995062132577548
no_hedge,1,12101,140,b1_p00140,0.0508233594699643,0.010719333001557797,0.011045785292412793,-0.03977757417755151,0.03977757417755151
no_hedge,2,12201,441,b2_p00441,0.050622553165706075,0.010719333001557797,0.011045785292412793,-0.039576767873293284,0.039576767873293284
no_hedge,1,12101,106,b1_p00106,0.05059780182415041,0.010719333001557797,0.011045785292412793,-0.03955201653173762,0.03955201653173762
oracle_rqmc,2,12201,198,b2_p00198,0.02695050735011084,0.010719333001557797,0.011045785292412793,-0.012078336659759006,0.012078336659759006
oracle_rqmc,4,12401,304,b4_p00304,0.028947712479582055,0.010719333001557797,0.011045785292412793,-0.012069661890887429,0.012069661890887429
oracle_rqmc,1,12101,399,b1_p00399,0.01735400992464431,0.010719333001557797,0.011045785292412793,-0.01205269201306485,0.01205269201306485
oracle_rqmc,4,12401,392,b4_p00392,0.0071789981551628745,0.010719333001557797,0.011045785292412793,-0.011770502044725845,0.011770502044725845
oracle_rqmc,3,12301,105,b3_p00105,0.011884306999437877,0.010719333001557797,0.011045785292412793,-0.010763217209764905,0.010763217209764905
oracle_rqmc,4,12401,20,b4_p00020,0.0,0.010719333001557797,0.011045785292412793,-0.009678833537845136,0.009678833537845136
oracle_rqmc,1,12101,47,b1_p00047,0.0,0.010719333001557797,0.011045785292412793,-0.008750555672568853,0.008750555672568853
oracle_rqmc,1,12101,322,b1_p00322,0.0,0.010719333001557797,0.011045785292412793,-0.008073014526600518,0.008073014526600518
oracle_rqmc,4,12401,184,b4_p00184,0.015315139724038085,0.010719333001557797,0.011045785292412793,-0.008005192609661323,0.008005192609661323
