t,actual,rw_pred,ar1_pred,rw_error,ar1_error,rw_abs_error,ar1_abs_error,rw_sq_error,ar1_sq_error,ar1_phi
58,0.9932517730102834,0.9932517730102834,0.9915904426699245,0.0,-0.0016613303403589796,0.0,0.0016613303403589796,0.0,2.760018499797283e-06,0.9334977097162196
59,1.0043016091968684,0.9932517730102834,0.9916235715980382,-0.01104983618658495,-0.012678037598830239,0.01104983618658495,0.012678037598830239,0.00012209887975036222,0.0001607326373573532,0.9336407311009329
60,0.9858167945227654,1.0043016091968684,1.0021998455612116,0.01848481467410301,0.016383051038446172,0.01848481467410301,0.016383051038446172,0.00034168837353593405,0.0002684043613283322,0.9347108249807716
61,0.9555114450274363,0.9858167945227654,0.9846071117766217,0.030305349495329037,0.0290956667491854,0.030305349495329037,0.0290956667491854,0.00091841420803404,0.0008465578235796529,0.9328723706498936
62,1.000631880307906,0.9555114450274363,0.9558732168777541,-0.045120435280469606,-0.04475866343015189,0.045120435280469606,0.04475866343015189,0.002035853679899046,0.002003337952053616,0.9311048372051535
63,1.0224509277025455,1.000631880307906,0.9985713503072634,-0.02181904739463958,-0.023879577395282126,0.02181904739463958,0.023879577395282126,0.00047607082920952823,0.0005702342165772691,0.9301486341369475
64,0.9895411936137477,1.0224509277025455,1.0193842199950947,0.032909734088797826,0.02984302638134695,0.032909734088797826,0.02984302638134695,0.0010830505977953817,0.0008906062235977699,0.9325226801883265
65,1.0116009116784799,0.9895411936137477,0.9881149665907472,-0.02205971806473217,-0.023485945087732718,0.02205971806473217,0.023485945087732718,0.00048663116109547085,0.0005515896166639966,0.9279068196188391
66,1.0152306797290584,1.0116009116784799,1.0090165728510814,-0.0036297680505785745,-0.006214106877977077,0.0036297680505785745,0.006214106877977077,1.3175216101000985e-05,3.861512429092201e-05,0.9294368704127062
67,0.9895411936137477,1.0152306797290584,1.012521644417808,0.025689486115310745,0.022980450804060304,0.025689486115310745,0.022980450804060304,0.0006599496968687435,0.0005281011191578358,0.9301933323040619
