block_id,shock_size,strategy,n_observations,mean_residual,rmse,mae,median_abs,p95_abs,p99_abs,max_abs,rmse_improvement_vs_nohedge_pct,mae_improvement_vs_nohedge_pct,physical_seed,valid_local_states
2,0.01,no_hedge,3066,-4.383128149769961e-08,0.00013389152855801316,0.0001177032719796123,0.0001206317416433747,0.0002216818131586095,0.00023229562107562448,0.00023671932963072184,0.0,0.0,9201,1533
2,0.01,oracle_rqmc,3066,-4.3831281497703183e-08,3.354176686439428e-07,2.5436270704390953e-07,1.9173835043074822e-07,7.461864357680443e-07,8.705411591896679e-07,9.078762382216937e-07,99.74948551842202,99.78389495655823,9201,1533
2,0.02,dml_ensemble,3066,-1.6640660982902905e-07,2.363064393873516e-06,1.8339622474110938e-06,1.4427965879444421e-06,4.860228640921941e-06,6.559406380637029e-06,1.1138479274703096e-05,99.1172800611614,99.2206702169943,9201,1533
2,0.02,mlp_ensemble,3066,-1.6640660982902905e-07,1.291050225355279e-05,8.821395031301218e-06,6.153436807907858e-06,2.6721743665948792e-05,4.630391845636395e-05,9.317675567516463e-05,95.17729699233841,96.25140818178978,9201,1533
2,0.02,no_hedge,3066,-1.664066098290239e-07,0.0002677026189056743,0.00023532556914967163,0.00024106788792681213,0.00044276280317526173,0.00046482939272069255,0.0004752099379423738,0.0,0.0,9201,1533
2,0.02,oracle_rqmc,3066,-1.6640660982902905e-07,1.3268658297171792e-06,9.983769044867537e-07,7.504152501573708e-07,2.9926741407457574e-06,3.48716146363775e-06,3.6206478748413633e-06,99.50435082213944,99.57574652508255,9201,1533
3,0.005,dml_ensemble,3070,-8.320156290184754e-09,4.991588535850383e-07,3.965495753774036e-07,3.321855042668712e-07,9.66143213915615e-07,1.3204172502552686e-06,1.822801542308638e-06,99.24816245457485,99.32167941665499,9301,1535
3,0.005,mlp_ensemble,3070,-8.32015629017941e-09,3.286399233848065e-06,2.245913420651554e-06,1.5777440532801762e-06,6.521027668002053e-06,1.1159394157164033e-05,2.807543239902119e-05,95.04999597719754,96.15823746579771,9301,1535
3,0.005,no_hedge,3070,-8.320156290828472e-09,6.639184975828478e-05,5.846049568802652e-05,5.9794347451114054e-05,0.00011066551282750794,0.00011519303988922556,0.00011822992411664873,0.0,0.0,9301,1535
3,0.005,oracle_rqmc,3070,-8.320156290186345e-09,8.736672168163174e-08,6.569495766359443e-08,4.889480159442714e-08,1.9658475448124412e-07,2.1882576403552686e-07,3.02847849356662e-07,99.86840745965098,99.88762504167913,9301,1535
3,0.01,dml_ensemble,3070,-3.22662392437055e-08,1.0462829265278599e-06,8.220418186305414e-07,6.709242035468957e-07,2.071734819087396e-06,2.7605924528110984e-06,4.307136773091386e-06,99.21193659654617,99.29681398593308,9301,1535
3,0.01,mlp_ensemble,3070,-3.226623924370541e-08,6.589012943436962e-06,4.509755174593483e-06,3.1946653098727492e-06,1.3212920028707537e-05,2.2536087447285916e-05,5.581569270970986e-05,95.03713590850799,96.1422926501196,9301,1535
3,0.01,no_hedge,3070,-3.2266239243702376e-08,0.00013276633858929816,0.00011690246992772248,0.00011967348839132287,0.00022148611524363155,0.00023057066946694882,0.00023671174767226494,0.0,0.0,9301,1535
3,0.01,oracle_rqmc,3070,-3.226623924370551e-08,3.3750992258884586e-07,2.524331868286631e-07,1.8912742883580848e-07,7.600826337644992e-07,8.688011846576062e-07,9.953978455129356e-07,99.74578652527813,99.78406513824324,9301,1535
3,0.02,dml_ensemble,3070,-1.367205135960386e-07,2.36608635394377e-06,1.8507446183333356e-06,1.464420898005068e-06,4.795343117942988e-06,6.233874880319683e-06,8.451509044707175e-06,99.1089999348889,99.20851505027298,9301,1535
3,0.02,mlp_ensemble,3070,-1.3672051359603843e-07,1.3237275970913604e-05,9.039045893172684e-06,6.368103192767337e-06,2.6418944688392955e-05,4.5725441505276274e-05,0.00011213537844142441,95.01522261335951,96.1343835808202,9301,1535
3,0.02,no_hedge,3070,-1.367205135960466e-07,0.0002655540046059082,0.00023383194070482983,0.00023940004058326837,0.0004428922547210658,0.00046184478519409094,0.00047553507363414654,0.0,0.0,9301,1535
