shock_size,n_fix_future,tau,distance_to_nearest_fixing_days,strategy,n_observations,mean_residual,rmse,mae,median_abs,p95_abs,p99_abs,max_abs
0.01,7,0.5416666666666666,15.20833333333332,mlp_ensemble,1022,-4.8772072477852345e-08,5.520365047118979e-06,3.4859141583221536e-06,2.4512536024740028e-06,8.46422662589607e-06,1.7860931333745457e-05,4.924768729920912e-05
0.01,7,0.5416666666666666,15.20833333333332,no_hedge,1022,-4.8772072477853655e-08,0.0001397167200089761,0.00012650817744176314,0.00012792291495675265,0.0002139144108369687,0.00022568637609955794,0.00022894174140547507
0.01,7,0.5416666666666666,15.20833333333332,oracle_rqmc,1022,-4.8772072477852385e-08,3.127794964273184e-07,2.5151504547580794e-07,2.064043390272406e-07,6.705638855488663e-07,7.886616580043342e-07,8.597639819432189e-07
0.01,6,0.45833333333333326,15.20833333333332,dml_ensemble,1024,-3.704127639914781e-08,9.553120041126062e-07,7.467320712953887e-07,5.937027508073477e-07,1.92735317077205e-06,2.3069910680698327e-06,3.883376103117173e-06
0.01,6,0.45833333333333326,15.20833333333332,mlp_ensemble,1024,-3.7041276399147755e-08,5.9240578606759685e-06,4.516285966356601e-06,3.972434660949203e-06,9.717825159133093e-06,1.7986828449806298e-05,4.2416338789770904e-05
0.01,6,0.45833333333333326,15.20833333333332,no_hedge,1024,-3.704127639914992e-08,0.0001405877328397332,0.00012464908524563288,0.0001280641316896156,0.00021947887638543005,0.00022869857908820165,0.00023286916791142448
0.01,6,0.45833333333333326,15.20833333333332,oracle_rqmc,1024,-3.704127639914793e-08,3.4400523326221873e-07,2.766966545615373e-07,2.3051921893177838e-07,7.138089059630178e-07,8.5014262797484e-07,8.856349747138434e-07
0.01,5,0.375,15.20833333333332,dml_ensemble,1022,-4.302000647055169e-08,1.2022659194371718e-06,9.744721845792029e-07,8.631098202711987e-07,2.2544157119614924e-06,2.962295716209117e-06,4.117074217889492e-06
0.01,5,0.375,15.20833333333332,mlp_ensemble,1022,-4.302000647055164e-08,6.3529341624348225e-06,4.428678090384842e-06,3.1223072506726416e-06,1.3723202298320902e-05,2.1446704824769933e-05,4.136981417044431e-05
0.01,5,0.375,15.20833333333332,no_hedge,1022,-4.3020006470554284e-08,0.00014507097743385184,0.00012633749094799796,0.00013199485915289192,0.00022455477694589916,0.00023194979816767628,0.00023653987807296245
0.01,5,0.375,15.20833333333332,oracle_rqmc,1022,-4.3020006470551677e-08,3.85472816265489e-07,3.1446560350632985e-07,2.7264883079916377e-07,8.062449289098009e-07,8.668714617314538e-07,8.892122301015326e-07
0.01,4,0.29166666666666674,15.20833333333332,dml_ensemble,1024,-4.9684002880595434e-08,1.3406173760290573e-06,1.063593288712366e-06,8.781564479440712e-07,2.6022050252587573e-06,3.211813073636265e-06,5.828598873628462e-06
0.01,4,0.29166666666666674,15.20833333333332,mlp_ensemble,1024,-4.968400288059547e-08,6.836886658273409e-06,5.557811557180852e-06,4.753081307103974e-06,1.3452948147288502e-05,1.6524655508338443e-05,2.2488062941498563e-05
0.01,4,0.29166666666666674,15.20833333333332,no_hedge,1024,-4.9684002880594e-08,0.00014920952270539714,0.0001269321392717666,0.00013138041681812164,0.00022824190278673064,0.0002338063215442126,0.00023854596780520376
0.01,4,0.29166666666666674,15.20833333333332,oracle_rqmc,1024,-4.968400288059561e-08,4.489612694718915e-07,3.7912521030711675e-07,3.3956822535903644e-07,8.394573905112426e-07,8.800071597868548e-07,9.069044136505869e-07
0.01,3,0.20833333333333326,15.20833333333332,dml_ensemble,1024,-3.734158948351631e-08,1.2454739284550933e-06,9.733394042193056e-07,8.066049140603899e-07,2.3728305783604677e-06,3.108364439178643e-06,5.027663565906979e-06
0.01,3,0.20833333333333326,15.20833333333332,mlp_ensemble,1024,-3.734158948351722e-08,1.0006330045356642e-05,7.411166054512862e-06,5.550092570580019e-06,2.1595411753940194e-05,2.853238189713502e-05,4.657517789505251e-05
0.01,3,0.20833333333333326,15.20833333333332,no_hedge,1024,-3.7341589483513123e-08,0.00015324069800185753,0.00012861688905652498,0.0001421648638245468,0.00023055755647056873,0.00023473840079780308,0.00023689982741213755
0.01,3,0.20833333333333326,15.20833333333332,oracle_rqmc,1024,-3.734158948351632e-08,5.082467931704537e-07,4.303971440141144e-07,4.168586151198235e-07,8.642808192118781e-07,8.876301563483921e-07,9.007312706572229e-07
0.01,2,0.125,15.20833333333332,dml_ensemble,1024,-4.202725287122207e-08,1.3016221086730792e-06,9.949336832414644e-07,7.507094299234214e-07,2.6512433009901913e-06,3.1442956892806653e-06,5.9614330472569546e-06
0.01,2,0.125,15.20833333333332,mlp_ensemble,1024,-4.202725287122157e-08,1.0528042480275743e-05,7.634380044607489e-06,5.25146368132525e-06,2.2251599825018198e-05,3.20247437489673e-05,5.60301511785461e-05
0.01,2,0.125,15.20833333333332,no_hedge,1024,-4.202725287121145e-08,0.0001551012214431414,0.0001256279175189697,0.00013678401199228047,0.00023263342989753957,0.00023546803352085064,0.00024068208536121016
0.01,2,0.125,15.20833333333332,oracle_rqmc,1024,-4.2027252871222075e-08,5.804297380022255e-07,4.934046627183138e-07,5.259042026951897e-07,8.820359757841138e-07,8.98534483965292e-07,1.0433240719290245e-06
