scenario_id,price_abs_error_mean_dml,price_abs_error_mean_mlp,delta_abs_error_mean_dml,delta_abs_error_mean_mlp,dml_minus_mlp_price_abs_error,dml_minus_mlp_delta_abs_error,spot_K,fixed_avg_contrib_K,tau,r,kappa_q,theta_q_log_K,sigma_q,n_fix_past,n_fix_future,expected_final_avg_K_Q,expected_moneyness_Q,abs_expected_moneyness_Q,split
test_0000023,9.920435652067986e-05,3.289788623330216e-05,0.00016295819012198328,0.0006228243930636601,6.63064702873777e-05,-0.0004598662029416768,0.9605169626515432,0.3975324415907831,0.5256364203523844,0.0628105748444795,62.535550978034735,0.0491561881118685,0.6688554608821868,5,7,1.0097742998851456,0.009774299885145554,0.009774299885145554,test
test_0000024,5.627145015754964e-05,5.82946416421656e-05,0.00022404493426822334,0.0003069208306845365,-2.023191484615962e-06,-8.287589641631314e-05,1.067479518545884,0.5329930994693622,0.4439174439758062,0.038325588107109,80.99239232391119,-0.0724505434954865,0.6492466893792153,6,6,0.9998397483966288,-0.0001602516033711865,0.0001602516033711865,test
test_0000025,0.00010345374490360539,6.782450928690859e-05,5.739587573367563e-05,0.00035263352780825916,3.56292356166968e-05,-0.0002952376520745835,0.9445574229090564,0.0,0.9793107128236442,0.0678010211139917,52.3153986427933,0.0274848963290457,0.6226953512430191,0,12,1.0294954154055642,0.029495415405564218,0.029495415405564218,test
test_0000026,0.00014548682021139195,0.00015879527072463947,0.0002785599303645913,0.001208852214518235,-1.3308450513247518e-05,-0.0009302922841536437,0.9249730538715564,0.7260566885731902,0.2394938549026846,0.0050944247841835,56.46309996023774,0.1150023025728335,0.5629349717497826,9,3,1.0066213778956175,0.006621377895617453,0.006621377895617453,test
test_0000027,3.946265646423697e-05,1.2805970651472847e-05,5.1119725804159026e-05,0.00021802471521268713,2.6656685812764123e-05,-0.0001669049894085281,0.9431100708531835,0.332154209544552,0.6561952133197337,0.0556635309010744,30.344210593029857,-0.1575056434218048,0.7088510096073151,4,8,0.9048743191614484,-0.09512568083855155,0.09512568083855155,test
test_0000028,5.981208536142529e-05,0.00010292060569173868,0.00012436045207257898,0.0006872570108283199,-4.310852033031339e-05,-0.0005628965587557409,0.9569007330465816,0.9307006894234444,0.0731339895632118,0.0776306436955928,38.79948615841568,-0.1205839975000969,0.6584706562757492,11,1,1.0051062689980723,0.005106268998072316,0.005106268998072316,test
test_0000029,0.00010797167792254308,9.687672749641048e-05,0.00021954644907111681,0.0014573815401045,1.1094950426132597e-05,-0.0012378350910333832,1.0947271557385156,0.3224954608683548,0.6082808271981776,0.0281955679506063,67.38471463695168,0.1569132820119149,0.5944308570027351,4,8,1.1022397433148088,0.10223974331480878,0.10223974331480878,test
test_0000030,6.841738064146182e-05,8.639081987938924e-05,0.0001429316613350099,0.000527546539744,-1.7973439237927414e-05,-0.0003846148784089901,0.8895626023966663,0.575521304473479,0.4027393262367695,0.0457837571203708,47.79850623942912,0.061517698582684,0.574972677230835,7,5,1.018808317247143,0.018808317247142936,0.018808317247142936,test
test_0000031,4.0207552126408954e-05,2.75817855407923e-05,3.601313755570853e-05,0.00048680449695556,1.2625766585616652e-05,-0.0004507913593998515,0.9331232542444908,0.158723979268381,0.8191942534409463,0.0152548556774854,73.88617496937513,-0.0227260859483937,0.6783977767825127,2,10,0.9745790961535009,-0.025420903846499088,0.025420903846499088,test
test_0000032,0.00014212113434697654,7.581634548324995e-05,8.879141138029101e-05,0.0002750367454698153,6.630478886372659e-05,-0.0001862453340895243,1.0007494777365815,0.9412983021572418,0.0800518488977104,0.0208825808018446,63.23875834047794,0.1258844544467484,0.7050850494205951,11,1,1.0359218332237476,0.035921833223747646,0.035921833223747646,test
test_0000033,4.319084025251607e-05,1.6874173044119366e-05,3.8925362345118344e-05,7.316511216434317e-05,2.6316667208396703e-05,-3.4239749819224826e-05,0.8170897602682438,0.3249345077954527,0.6152785446494818,0.0701584257185459,27.44752116687596,-0.0896344765471449,0.5617032210528851,4,8,0.9322687579708033,-0.06773124202919667,0.06773124202919667,test
test_0000034,4.864989732541446e-05,4.178539752502785e-05,9.12069290485557e-05,0.0002674903684467667,6.8644998003866115e-06,-0.000176283439398211,0.9843966963508924,0.5780557991220314,0.3512684483546763,0.0125708516687154,85.84568026289344,-0.0120407687431655,0.6214735187590122,7,5,0.9901294347275817,-0.009870565272418252,0.009870565272418252,test
test_0000035,3.679698105800433e-05,0.0001079557482992848,0.0001654592660010419,0.00081892174735142,-7.115876724128048e-05,-0.0006534624813503781,1.0874993634277117,0.1711467655748271,0.7676870545372367,0.0432528708875179,51.34106487594545,0.0509118333563556,0.645471116155386,2,10,1.050949055006813,0.050949055006813015,0.050949055006813015,test
test_0000036,0.00093218228240226,0.00868838680768766,0.00297998758213826,0.08841724583963632,-0.007756204525285399,-0.08543725825749807,0.9038565481811028,0.543649381331522,0.4211622850038111,0.0600345850735902,41.02302501164377,0.0165021237555407,0.6771196274459361,6,6,1.0450472478375503,0.04504724783755032,0.04504724783755032,test
test_0000037,1.3871745660676283e-05,1.0511486044040286e-05,1.8619015826674832e-05,0.00014135852066913908,3.3602596166359963e-06,-0.00012273950484246424,0.9150394010056648,0.0,0.956606420269236,0.0307209768891334,76.78304200991988,-0.0615470993391988,0.571248232871294,0,12,0.9412084485121327,-0.0587915514878673,0.0587915514878673,test
test_0000038,2.374135924063589e-05,1.0164979252970385e-05,4.091910738324752e-05,0.00022218390235550193,1.3576379987665506e-05,-0.0001812647949722544,1.0112102288098652,0.6677187935046837,0.277099987026304,0.0534245166927576,33.94637583382428,-0.1262189099178581,0.5906967996060849,8,4,0.9666476210439545,-0.03335237895604548,0.03335237895604548,test
test_0000039,6.515994817280545e-05,6.0257128975901854e-05,0.0001154668204873322,0.0008868229602049,4.902819196903598e-06,-0.0007713561397175678,0.8330645437419335,0.2508394520650179,0.6937360327225178,0.002704581618309,68.35922555625439,0.0837950428527894,0.6572024251520634,3,9,1.0639448278040127,0.06394482780401267,0.06394482780401267,test
test_0000040,3.424388606691753e-05,2.030140602221897e-05,4.708906704277344e-05,0.0002208260568848833,1.3942480044698558e-05,-0.00017373698984210988,0.9729574705525402,0.6697267515820147,0.3151845954358577,0.0584346473962068,75.07754174247384,-0.1070794551551373,0.6371249274909496,8,4,0.9696614405216786,-0.030338559478321425,0.030338559478321425,test
test_0000041,9.336321968431141e-05,6.873120498609997e-05,0.00015153430270922454,0.0006955582049548599,2.4632014698211443e-05,-0.0005440239022456354,1.0378762184411248,0.082801167294827,0.8487660246435553,0.0077140954136848,46.61246096901596,0.1434087499637621,0.6112430901825429,1,11,1.1379333894337398,0.13793338943373978,0.13793338943373978,test
test_0000042,0.00014606875857011694,0.0001309886754949575,0.00012597825262702496,0.0009600360109623601,1.5080083075159434e-05,-0.0008340577583353351,0.9131075838440786,0.8391224986489374,0.1623122254386544,0.0650251863151788,65.71571343392134,0.07851798687241,0.5507007358968259,10,2,1.019525583587925,0.01952558358792511,0.01952558358792511,test
test_0000043,0.00011732718257257675,4.110033499727078e-05,3.6883292548882e-05,0.00026679383830444,7.622684757530597e-05,-0.000229910545755558,0.9801999994824896,0.4343516456788461,0.5770855509210379,0.0357109600305557,40.474754909053445,-0.0397263845349266,0.6971983410418033,5,7,0.9967232581171305,-0.003276741882869527,0.003276741882869527,test
test_0000044,9.842975488608485e-05,8.069778393383056e-05,7.54838583660729e-05,0.00216763534410762,1.773197095225429e-05,-0.002092151485741547,0.9921660340723836,0.7833817779642328,0.2110822064336389,0.0175622480362653,29.13120419718325,-0.0745034260582227,0.6650799162685871,9,3,1.017860825981895,0.01786082598189509,0.01786082598189509,test
test_0000045,0.00010812376058901983,5.6708275273740366e-05,7.809699137888254e-05,0.00037938563211168,5.141548531527947e-05,-0.00030128864073279747,0.9429333408103064,0.2385579418735255,0.7444461961276829,0.0482424379885196,57.68615808337927,0.029537767383586,0.6017085115611553,3,9,1.0121685977816754,0.01216859778167545,0.01216859778167545,test
test_0000046,0.00011230588367165607,1.8782736181310876e-05,8.381397530795548e-05,0.0001613212924868543,9.352314749034519e-05,-7.750731717889883e-05,1.0012773507859898,0.5177375848725846,0.4744164682459086,0.0258935090154409,54.02330478839576,0.106913784942256,0.581469425112009,6,6,1.0745905491595247,0.07459054915952468,0.07459054915952468,test
test_0000047,9.24049178106373e-06,9.897787229912192e-06,7.738878471191372e-06,5.585465344725916e-05,-6.572954488484619e-07,-4.8115774976067785e-05,0.8645490330127109,0.081907175848861,0.8889723542146385,0.075167525857687,79.29359186068177,-0.1494171142830314,0.6854750619828701,1,11,0.8725232531475445,-0.12747674685245547,0.12747674685245547,test
test_0000048,0.00018787032709760766,0.00014089940994214167,0.00037355309838796617,0.00160975497889486,4.697091715546599e-05,-0.0012362018805068939,1.010274271786194,0.4317861663406065,0.5010995476972312,0.0072563675791025,35.71117782779038,0.0409095633146349,0.6092679986357689,5,7,1.0381876143592819,0.03818761435928186,0.03818761435928186,test
test_0000049,0.00015198956721712925,0.00027924239517903226,0.0008997378897055399,0.00541537195390948,-0.000127252827961903,-0.00451563406420394,1.0849319930165202,0.0,0.9175182352773844,0.056692658662796,70.47311720252037,-0.0020385671449258,0.662693725824356,0,12,1.0062325744512362,0.00623257445123615,0.00623257445123615,test
test_0000050,5.614996803540648e-05,1.3474198656075742e-05,0.00011358533414800652,0.0002888987235136324,4.267576937933074e-05,-0.0001753133893656259,0.9985214074380412,0.7155870309365016,0.1714326178189367,0.039318097308278,43.13597061298788,-0.0999566399107034,0.6829235044121742,9,3,0.9487549087684468,-0.051245091231553186,0.051245091231553186,test
test_0000051,8.082352774668108e-05,7.052849853566266e-05,0.00017187544288036751,0.00040812064499757205,1.029502921101842e-05,-0.00023624520211720454,0.9650903098842124,0.2401198357241423,0.7066591826267541,0.0698482152819633,78.54879004880786,0.1362065311959902,0.5888818556070328,3,9,1.099799594687079,0.09979959468707911,0.09979959468707911,test
test_0000052,3.144789831936029e-05,2.149503652121021e-05,0.00014141971196608794,0.0010876233372083307,9.95286179815008e-06,-0.0009462036252422428,1.061675608385826,0.8355388089995305,0.1300551803782582,0.0468643047660589,84.07984076067805,0.0937969246443216,0.618483362197876,10,2,1.0187419617905253,0.01874196179052534,0.01874196179052534,test
test_0000053,1.4301491396749577e-05,1.3476139587732806e-05,1.9007098561207088e-05,0.00017229478373586297,8.253518090167718e-07,-0.0001532876851746559,1.0157929460055213,0.4088558139335638,0.5466913074720651,0.0173900978267192,49.22802596352994,-0.1362208795350961,0.634398772418499,5,7,0.9200800563898308,-0.07991994361016919,0.07991994361016919,test
