scenario_id,model_type,n_seeds,price_true,delta_true,price_abs_error_mean,price_abs_error_max_seed,price_error_mean,price_pred_sd_seed,delta_abs_error_mean,delta_abs_error_max_seed,delta_error_mean,delta_pred_sd_seed,split,S0_K,spot_K,fixed_avg_contrib_K,past_avg_K,t,tau,n_fix_past,n_fix_future,r,kappa_q,theta_q_log_K,sigma_q,kappa_p,theta_p_log_K,sigma_p,state_seed,pricing_seed,price_K,delta,price_se_rep,delta_se_rep,n_paths,n_replications,pricing_engine,compute_backend,compute_dtype,expected_final_avg_K_Q,expected_moneyness_Q,abs_expected_moneyness_Q,required_future_avg_K_for_strike,spot_minus_required_future_avg,target_ranked
test_0004014,mlp,5,0.0,0.0,0.00848629798179026,0.0121242600658462,0.00848629798179026,0.0031604437944703764,0.056651039865442246,0.0726668090796753,0.056651039865442246,0.019445433775462245,test,0.9739901263965294,1.0829160170476833,0.7128679408719819,0.9504905878293092,0.7512234821915627,0.2487765178084373,9,3,0.0422350031137466,30.48926167190075,-0.1626851919724362,0.600740902274847,32.66452619190628,0.0,0.6247403836973323,185117385428910,185546882158510,0.0,0.0,,,8192,1,rqmc,pytorch_cuda,float32,0.9275027791590923,-0.0724972208409077,0.0724972208409077,1.1485282365120724,-0.06561221946438911,price
test_0003952,dml,5,0.0186708848923444,0.0790240913629531,0.00838953188725158,0.011531793426973,-0.00838953188725158,0.0023303646523402067,0.02252032992487196,0.0336318298463461,-0.02252032992487196,0.009650468334981175,test,1.0955450509442015,0.912129584240163,0.7902878544218721,1.0537171392291629,0.83248793175444,0.1675120682455599,9,3,0.0394736599177122,61.4882657378912,-0.0907428124219957,0.6578680999577046,32.66452619190628,0.0,0.6247403836973323,185117385428848,185546882158448,0.0186708848923444,0.0790240913629531,,,8192,1,rqmc,pytorch_cuda,float32,1.0187928912177577,0.018792891217757735,0.018792891217757735,0.8388485823125116,0.07328100192765141,price
test_0003014,mlp,5,0.059263352304697,0.0750573277473449,0.00811894358654924,0.0254837387897614,-0.00811894358654924,0.01024755857569663,0.2184320171604121,0.5093964709240683,0.2184320171604121,0.1755201409415818,test,0.958123087277636,1.012821859743141,0.7919371061460115,1.0559161415280154,0.8309592584148049,0.169040741585195,9,3,0.0327844732254743,51.70842634886503,0.0893543924561754,0.5944058956205845,32.66452619190628,0.0,0.6247403836973323,185117385427910,185546882157510,0.059263352304697,0.0750573277473449,,,8192,1,rqmc,pytorch_cuda,float32,1.0595929266105248,0.05959292661052484,0.05959292661052484,0.8322515754159538,0.18057028432718725,price
test_0000730,dml,5,0.0147788450121879,0.0007299871649593,0.00803621926387084,0.0231142723639951,0.00803621926387084,0.008801385514205937,0.013792027180064642,0.0413282105523615,0.013792027180064642,0.017366349212433643,test,0.8575596765149385,0.9578516623349852,0.6321284931695281,0.9481927397542922,0.6696245486848056,0.3303754513151943,8,4,0.0262137807905674,59.98061265796423,0.1358545581723461,0.6275138629972935,32.66452619190628,0.0,0.6247403836973323,185117385425626,185546882155226,0.0147788450121879,0.0007299871649593,,,8192,1,rqmc,pytorch_cuda,float32,1.0144554110778,0.014455411077799907,0.014455411077799907,1.1036145204914156,-0.14576285815643042,price
test_0000570,dml,5,0.042412482202053,0.0667286813259124,0.00596828412980054,0.010981727509674,-0.00596828412980054,0.0032702925703956666,0.00844611796810984,0.012692743479742,-0.00844611796810984,0.0033462704580555233,test,0.8635804963530972,1.0245678716367683,0.7074885161905113,1.061232774285767,0.7472458914853632,0.2527541085146367,8,4,0.0383659517765045,76.26611189730465,2.1946865938038407e-05,0.6090088996291161,32.66452619190628,0.0,0.6247403836973323,185117385425466,185546882155066,0.042412482202053,0.0667286813259124,,,8192,1,rqmc,pytorch_cuda,float32,1.0428257584114171,0.042825758411417114,0.042825758411417114,0.877534451428466,0.14703342020830235,price
test_0004014,dml,5,0.0,0.0,0.00515697855554478,0.0089211377718418,0.00515697855554478,0.003884478675950998,0.04355391981789224,0.0713574102075197,0.04355391981789224,0.027917863495717427,test,0.9739901263965294,1.0829160170476833,0.7128679408719819,0.9504905878293092,0.7512234821915627,0.2487765178084373,9,3,0.0422350031137466,30.48926167190075,-0.1626851919724362,0.600740902274847,32.66452619190628,0.0,0.6247403836973323,185117385428910,185546882158510,0.0,0.0,,,8192,1,rqmc,pytorch_cuda,float32,0.9275027791590923,-0.0724972208409077,0.0724972208409077,1.1485282365120724,-0.06561221946438911,price
test_0001958,mlp,5,0.0023698951117694,3.8530015444848686e-05,0.00500839697320416,0.0152200658131345,0.00500839697320416,0.005921096346614438,0.013325898854395321,0.0212005218654259,-0.013325898854395321,0.007258918611888121,test,0.963236614014022,1.0273686084780929,0.7418998430899727,0.9891997907866305,0.75045825811103,0.2495417418889701,9,3,0.0702430706471204,81.99689599685371,0.0237104830543748,0.6912713402509689,32.66452619190628,0.0,0.6247403836973323,185117385426854,185546882156454,0.0023698951117694,3.8530015444848686e-05,,,8192,1,rqmc,pytorch_cuda,float32,0.9982718552371904,-0.0017281447628095803,0.0017281447628095803,1.0324006276401092,-0.0050320191620163435,price
test_0006480,mlp,5,5.63430774036533e-07,2.676163603609893e-06,0.00488111446805984,0.0068749578050788,0.00488111446805984,0.0018801014138128164,0.06700259225534397,0.1319250787351133,0.03904419170440694,0.07381041882866747,test,1.1055122719379142,0.9196059880845052,0.8869039684488155,0.9675316019441624,0.9220201480668038,0.0779798519331961,11,1,0.0460646341741085,31.21744729951024,0.0349733793502621,0.6437826481461525,32.66452619190628,0.0,0.6247403836973323,185117385431376,185546882160976,5.63430774036533e-07,2.676163603609893e-06,,,8192,1,rqmc,pytorch_cuda,float32,0.9725911725451437,-0.027408827454856288,0.027408827454856288,1.3571523786142143,-0.4375463905297091,price
test_0006810,mlp,5,0.0,0.0,0.004372564436258259,0.0117993212007203,0.004372564436258259,0.0043976463419641305,0.08164932944389854,0.1623397597719157,-0.05389995811396066,0.08964396260753045,test,0.851334172161296,0.9489111201028996,0.8013976780337667,0.96167721364052,0.834803223470226,0.165196776529774,10,2,0.0630641016364097,44.393333027139306,-0.0342763434105044,0.5663131155073643,32.66452619190628,0.0,0.6247403836973323,185117385431706,185546882161306,0.0,0.0,,,8192,1,rqmc,pytorch_cuda,float32,0.9626998088414354,-0.037300191158564644,0.037300191158564644,1.1916139317973997,-0.24270281169450014,price
test_0002933,mlp,5,0.0,0.0,0.00436752984260496,0.0064431330572157,0.00436752984260496,0.0017301713534650578,0.02817303040517488,0.0527914327674644,0.02817303040517488,0.015463445993835407,test,0.8739904810441658,0.8703973340457457,0.3784490577106313,0.9082777385055152,0.4171933449339121,0.5828066550660879,5,7,0.002196576744318,56.64719098247588,-0.0427703980540687,0.6905451834201812,32.66452619190628,0.0,0.6247403836973323,185117385427829,185546882157429,0.0,0.0,,,8192,1,rqmc,pytorch_cuda,float32,0.9384653163294114,-0.061534683670588564,0.061534683670588564,1.065515901067489,-0.19511856702174335,price
test_0005389,mlp,5,0.0253894012421369,0.0007819617749191,0.00431633249249048,0.0138202986516183,0.00431633249249048,0.005452201909420053,0.051118663355334035,0.1524745332672799,0.051118663355334035,0.058589716925536564,test,0.9183086765930056,1.0206388955191277,0.3794146696133726,0.9105952070720942,0.4297253457829356,0.5702746542170644,5,7,0.0011486698687076,67.22927357815206,0.1003924734192459,0.6376500165462494,32.66452619190628,0.0,0.6247403836973323,185117385430285,185546882159885,0.0253894012421369,0.0007819617749191,,,8192,1,rqmc,pytorch_cuda,float32,1.0252609299037188,0.025260929903718754,0.025260929903718754,1.0638605663770755,-0.043221670857947814,price
test_0007522,mlp,5,0.0505930110812187,0.0917157158255577,0.00401605252696844,0.0086515107049034,-0.00401605252696844,0.002956608866454614,0.08180300673386413,0.1906999927012095,-0.08180300673386413,0.06459864773486149,test,0.8961676465347409,1.0447620273035048,0.7843841525215378,1.0458455366953838,0.8330818669870496,0.1669181330129504,9,3,0.0300231496244668,27.594553546980023,0.0712278264084733,0.6476884809136391,32.66452619190628,0.0,0.6247403836973323,185117385432418,185546882162018,0.0505930110812187,0.0917157158255577,,,8192,1,rqmc,pytorch_cuda,float32,1.0508479860708295,0.05084798607082952,0.05084798607082952,0.8624633899138487,0.18229863738965602,price
test_0003910,mlp,5,8.520835763192736e-06,4.952349263476208e-05,0.00393474714405412,0.0091966494594488,0.00393474714405412,0.004275324403635159,0.06479736777322864,0.1101071022600842,-0.06479736777322864,0.051151679857468824,test,0.959522943990305,0.9445474540387444,0.8946629574546084,0.9759959535868457,0.920970409316942,0.0790295906830579,11,1,0.0269329378008842,26.526991164311767,0.0448661049950027,0.5500106033682823,32.66452619190628,0.0,0.6247403836973323,185117385428806,185546882158406,8.520835763192736e-06,4.952349263476208e-05,,,8192,1,rqmc,pytorch_cuda,float32,0.9809774622581852,-0.019022537741814838,0.019022537741814838,1.2640445105446987,-0.3194970565059543,price
test_0002184,dml,5,2.7798830615211045e-06,3.46898389125272e-07,0.0038764678416828803,0.0081740702579732,0.00354605685607148,0.0038251852385925125,0.0082684828376486,0.015032174548201,0.0082684828376486,0.006799274348793363,test,1.13973756080959,0.9682396256557086,0.7905435160982567,0.948652219317908,0.8344703267794102,0.1655296732205897,10,2,0.0673586659133434,74.41819404810667,0.1289322841442252,0.57672408670187,32.66452619190628,0.0,0.6247403836973323,185117385427080,185546882156680,2.7798830615211045e-06,3.46898389125272e-07,,,8192,1,rqmc,pytorch_cuda,float32,0.9803238684057978,-0.01967613159420223,0.01967613159420223,1.25673890341046,-0.28849927775475126,price
